Timestamp,Gender,Career stage / position,Are you a wet or dry lab person?,Which industry do you work in?,In which country do you live/work?,R experience: How long have you been using R? ,Do you use base R or tidyverse? [Base R],Do you use base R or tidyverse? [Tidyverse],Bioconductor experience: How long have you been using Bioconductor? ,Is R/Bioconductor your primary analysis tool?,"What other programming languages do you use? (e.g. C, JavaScript, MATLAB, Python, ...)","What other biological software projects do you use? (e.g. Bioconda, Biopython, Galaxy, ...)",What types of data do you analyze using Bioconductor?,What is your primary tool for interacting with R/Bioconductor?,Which of the following do you do?,What barriers are there to contributing your package to Bioconductor?,Where do you go to get help on Bioconductor package use?,Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Bioconductor's website],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Bioconductor's support site],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Bioconductor's package documentation],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Ease of use of Bioconductor packages],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Quality of Bioconductor packages],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Breadth of Bioconductor packages],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Bioconductor core classes and packages],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Bioconductor training material],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Bioconductor annotation resources],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Interactive R/Shiny],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Data Visualization ],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Bioconductor GitHub repository],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Bioconductor F1000 workflows],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Package submission and review process],Please consider some specific aspects of Bioconductor. How satisfied are you with ... [Guide to Scale: 1 = Very Dissatisfied; 2 = Dissatisfied; 3 = OK; 4 = Satisfied; 5 = Very Satisfied] [Overall satisfaction with Bioconductor],"Please tell us about your experience with Bioconductor annotation resources (e.g. annotation packages, biomaRt, AnnotationHub, ...)",Please tell us about your experience with Bioconductor ExperimentHub,Which Bioconductor packages do you use most frequently?,What are the best aspects of Bioconductor?,What are the worst aspects of Bioconductor?,Do you have suggestions for new activities to benefit the user or developer community?,What analysis would you like to do in Bioconductor but currently cannot?,"Is there anything else you'd like to tell us? (e.g. future vision for Bioconductor, ...)"
10/7/2019 16:16:25,Female,PhD student,Dry lab,Academia / University,US,2 - 5 years,Sometimes user,Frequent user,2 - 5 years,Yes,Occasionally C++ and Python,Mostly C++ command line tools like samtools and kallisto,Single cell genomics,RStudio,"I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package that is shared on GitHub or similar, I have written my own R / Bioconductor package and released it via Bioconductor","Including bash commands in vignettes. The bash commands are part of the workflow, though not required to use my R package. So I built a stand alone website just for vignettes that include the command line part of the workflow.","Biostar and the GitHub repo of the package. If that doesn't work, I'll figure it out myself by reading vignettes and package documentation. If that still doesn't work, I'll read the source code or run the problematic function with debug mode to figure out what could be wrong.",4,Not Applicable / Rarely use,5,4,4,5,5,4,5,5,5,5,5,5,5,I love it. It's so much easier to get annotations from AnnotationHub and genomes from various BSgenome packages than to download them via ftp from Ensembl. ,I don't use it that often since I usually process fastq files from scratch. I would like a greater variety of newer data on ExperimentHub. ,"GenomicRanges, GenomicFeatures, AnnotationHub, ensembldb, DropletUtils, BSgenome.Mmusculus.UCSC.mm10, Biostrings, plyranges","I like the generics and the methods for GRanges, TxDb, EnsDb, and sometimes DNAStringSet that have consistent user interface. I also like the strict requirements for documentation.","I wish that the requirements for unit testing are more stringent. Also, though I have tried SingleCellExperiment, I still prefer Seurat, which is not a Bioconductor package, but I do wish that Seurat has better function documentation. Also, the vignette requirement and time limit for R CMD check are somewhat annoying since I have to limit the vignette to small toy datasets. Since single cell data is getting larger, I put vignettes demonstrating analysis of normal sized scRNA-seq on a stand alone website so I can take my time to rerun them if needed.",Not really,"Whatever Seurat can do but SingleCellExperiment based packages can't, such as data integration. But meanwhile, I wish that Seurat can work with HDF5Array for data that can't fit into memory.",I know some R packages that implement cool ideas that forever remained on GitHub and never made it to Bioconductor. I wonder if the stricter requirements for Bioconductor packages are intimidating to some package authors. It was a lot of work to get my package to fulfill the requirements.
10/7/2019 16:53:33,Male,tenure-track,Dry lab,Academia / University,France,2 - 5 years,Sometimes user,Frequent user,2 - 5 years,No,"C, C++, Python",None,"RNA sequencing (bulk), Methylation, Single cell genomics",RStudio,"I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I have written my own R / Bioconductor package, but its not publicly available, I have written my own R / Bioconductor package that is shared on GitHub or similar, I have written my own R / Bioconductor package and released it via Bioconductor",The git/release process was not obvious to me at first.,The vignettes,5,5,5,5,5,5,5,Not Applicable / Rarely use,5,Not Applicable / Rarely use,5,3,Not Applicable / Rarely use,5,5,I use several annotation package routinely.,Not used.,Hard to say... DESeq2?,Robustness.,S4 classes are somewhat cumbersome to write.,Not that I found.,Nothing more.,"Keep up the good work, and thanks for all!"
10/7/2019 16:55:47,Female,PhD student,Dry lab,Academia / University,Switzerland,2 - 5 years,Frequent user,Sometimes user,2 - 5 years,Yes,,,Single cell genomics,RStudio,"I use functions from R packages to analyze data, I have written my own R / Bioconductor package and released it via Bioconductor",,package vignettes & documentation,2,4,4,4,5,4,5,5,Not Applicable / Rarely use,4,4,Not Applicable / Rarely use,5,5,5,,"extremely useful to discover new data for, e.g. quick pilot studies/analyses, demonstration of methods, testing new hypotheses etc. But I resolve to original data sources in the long run. ","scater, scran",the SCE class & how many/most single cell packages easily interact with it. ,,Not an activity really- but a package primer/vignette on 10 key things when developing a Bioc package or similar would we useful for new developers to ease their entry into the Bioc developer world. ,,
10/7/2019 17:03:37,,,Dry lab,Biotechnology (including start-up),,2 - 5 years,Sometimes user,Frequent user,2 - 5 years,Yes,Python,,Single cell genomics,"Command line, RStudio","I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I have written my own R / Bioconductor package and released it via Bioconductor",,,4,4,3,4,3,,5,3,4,5,5,3,4,4,4,,,,,,,,
10/7/2019 17:15:20,Male,Postdoc ,Dry lab,Academia / University,Sweden,5 - 10 years,Frequent user,Frequent user,5 - 10 years,Yes,Bash python,Plink,"RNA sequencing (bulk), Single cell genomics, Proteomics, Microarray",RStudio,"I use functions from R packages to analyze data, I have written my own R / Bioconductor package and released it via Bioconductor",Poor introduction to S4 design,"Support forum, bioc slack ",4,5,5,4,5,5,3,1,4,Not Applicable / Rarely use,3,5,5,5,4,Annotationhub ,"Very difficult to make new package, instructions to technical ","GRanges, limma ","High performance, great maintenance ",Very poor guides on core S4 system.,"Better S4 tutorials, especially extending core S4 classes ","Better support for population genetics (Like hail, but for R). Better core packages for dna binding motifs (pwms) and gene ontology.",Keep up the great work!
10/7/2019 17:25:56,Male,senior post-doc,Dry lab,Academia / University,Spain,5 - 10 years,Frequent user,Rare user,5 - 10 years,Yes,"None today, perl and C in the past",None,"RNA sequencing (bulk), DNA sequencing (whole genome, exome / targeted), Methylation, Microarray",RStudio,"I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I have written my own R / Bioconductor package that is shared on GitHub or similar, I have written my own R / Bioconductor package and released it via Bioconductor","No barriers per se. Initial review, required good documentation and commitment to maintain the package mean more work, but are essential for good quality packages.",Biostars,4,3,5,5,5,5,5,4,4,Not Applicable / Rarely use,5,Not Applicable / Rarely use,Not Applicable / Rarely use,5,5,"I use them frequently and they work as expected. Although I understand the underlying complexity, I think some operations should be easier (i.e. get the position of 5 genes by symbol)",Not used it,"GRanges, VariantAnnotation, regioneR, limma, karyoploteR, BSgenome.Hsapiens.UCSC.hg19, TxDb.Hsapiens.UCSC.hg19.knownGene, org.Hs.eg.db,","First, the community. Second, technical aspects: fixed releases ensure all packages work and work well together, packages are (usually) well documented; use of standard data data containers ensure interoperability and ease of use of results generated by new packages.",,,,
10/7/2019 17:44:23,female,PhD student,Dry lab,Academia / University,Switzerland,5 - 10 years,Frequent user,Sometimes user,2 - 5 years,Yes,,Bioconda,Single cell genomics,RStudio,I have written my own R / Bioconductor package and released it via Bioconductor,,,4,4,5,4,5,4,5,5,5,4,4,4,,5,5,,,"SummarizedExperiment, SingleCellExperiment, TreeSummarizedExperiment","Every package has a vignette, and S4 class ",,,,
10/7/2019 18:05:41,Male,Tenured,Both,Academia / University,Netherlands,5 - 10 years,Frequent user,Rare user,5 - 10 years,Yes,"Python, PERL",Bioconda,"RNA sequencing (bulk), Single cell genomics, Microarray","Command line, RGui",I use functions from R packages to analyze data,N.A.,"vignettes, colleagues, support.bioconductor.org",3,4,5,4,5,5,5,Not Applicable / Rarely use,5,Not Applicable / Rarely use,3,Not Applicable / Rarely use,4,Not Applicable / Rarely use,4,"Usually works as expected, but analyzing/merging annotation data on both transcript and gene level is inconvenient (because 2 different types of infrastructures exists; TxDb and Org.Db). Would be nice if these could be better integrated. I prefer to use the Ensembl.Db's over biomaRt because the latter uses online queries that are not always stable.",N.A.,"limma, affyPLM, oligo, edgeR, tximport, clusterProfiler","cutting-edge, open-source, community","steep learning curve, due to large number of packages it takes effort to find the most appropriate package for analysis","I like the F1000 Bioconductor workflows (i also use them for teaching), so please keep this going. Another suggestion: better indicate the number of downloads of a package because this can serve for new users as indicator which package is popular and should be considered essential.",N.A.,
10/7/2019 18:13:31,male,post-doc,Dry lab,"Academia / University, Hospital / Clinical",germany,2 - 5 years,Frequent user,Sometimes user,2 - 5 years,Yes,C,"GWAS specialty tools; e.g. SNPTEST, OMICable, LDpred, PLINK","RNA sequencing (bulk), Methylation, Single cell genomics, Metabolomics, Microarray",Command line,"I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package, but its not publicly available, I have written my own R / Bioconductor package that is shared on GitHub or similar, I have written my own R / Bioconductor package and released it via Bioconductor",,,4,4,4,4,4,Not Applicable / Rarely use,3,Not Applicable / Rarely use,4,Not Applicable / Rarely use,5,4,Not Applicable / Rarely use,5,5,,,,,,,,
10/7/2019 18:34:27,Male,Post-doc,Dry lab,Academia / University,Germany,5 - 10 years,Frequent user,Frequent user,5 - 10 years,Yes,,Bioconda,"RNA sequencing (bulk), Single cell genomics, Microarray, Imaging data","Command line, RStudio","I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package that is shared on GitHub or similar, I have written my own R / Bioconductor package and released it via Bioconductor",,"Vignettes, workflows, manual pages",4,5,5,5,4,5,5,5,5,4,4,5,4,5,5,,,RNA-seq related packages,"Community, higher documentation standards, efforts for standardization",,Something like the tidyverse developer day could help onboarding new users,,Keep on with the good stuff - you made me a better (working) person by embracing your philosophy and learning from you all.
10/7/2019 18:38:33,male,post-doc,Dry lab,Hospital / Clinical,Italy,2 - 5 years,Frequent user,Sometimes user,2 - 5 years,Yes,"MATLAB, bash, Python",,"RNA sequencing (bulk), DNA sequencing (whole genome, exome / targeted), Methylation, Metabolomics, Microarray, Imaging data, Meta-genomics",RStudio,"I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package that is shared on GitHub or similar, I have written my own R / Bioconductor package and released it via Bioconductor",none,via email or Bioconductor website,2,4,3,5,4,5,5,3,4,5,5,5,4,5,4,It's easy to get and handle data coming from Bioconductor annotation resources.,,"DaMiRseq, Deseq2,  limma, phyloseq, tximport, EBImage",The best aspect is that most of (not all!) packages have a clear tutorial which allows users to understand how each function works.,"Three aspects. First, there is not a standard, concerning the manual creation; some manuals are very precise and comprehensive, while others are too much bare and simplistic. Second, the website is not use-friendly, especially for a new-user. Finally, as a developer I'm interested in more information about my packages, not only the number of downloads (e.g., the Countries where the package is downloaded; if the package is downloaded by a Bioconductor developer or a simple user; ...) ","The organization of specific workshops/schools/meetings, led by groups of Bioconductor developers, to face specific tasks: one dedicated to machine learning, one to deep learning, one to RNA-Seq analysis, one to SNP identification, and so on.",deep learning,
10/7/2019 18:44:51,Male,Phd student,Dry lab,Academia / University,Norway,2 - 5 years,Frequent user,Sometimes user,2 - 5 years,Yes,C++,,RNA sequencing (bulk),RStudio,"I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package and released it via Bioconductor",,"Function documentation or Bioconductor vignettes, if properly written.",3,3,4,4,4,3,2,3,4,3,4,5,4,4,4,"Works as it should, happy about it.",,"S4Vectors, IRanges, GenomicRanges, GenomicFeatures",Community and package system,Optimization of core packages,,"Increased usability of core packages, like a countOverlaps() using score column for hits, etc. ",Keep on rocking!
10/7/2019 18:57:33,male,post-doc,Dry lab,Academia / University,Switzerland,5 - 10 years,Frequent user,Sometimes user,5 - 10 years,Yes,,bioconda,"RNA sequencing (bulk), DNA sequencing (whole genome, exome / targeted), Methylation, Single cell genomics, Proteomics",RStudio,"I use functions from R packages to analyze data, I write R functions for use by myself or my collaborators, I contribute to R packages (on CRAN, Bioconductor or elsewhere), I have written my own R / Bioconductor package, but its not publicly available, I have written my own R / Bioconductor package that is shared on GitHub or similar, I have written my own R / Bioconductor package and released it via Bioconductor",whether it's good/useful enough to be there,Bioconductor website and various forums (chiefly through google),5,Not Applicable / Rarely use,5,5,5,5,5,Not Applicable / Rarely use,5,5,5,5,5,5,5,"Very positive experience with biomaRt, also with annotation packages, though I've been annoyed that many are chiefly UCSC-based and didn't seem have an ensembl counterpart, and that there are competing annotation platforms (with different packages working with different annotation platforms, making it sometimes difficult to use a single one for everything). Never used AnnotationHub much, probably should...",Tried only once but liked it!,"SummarizedExperiment, GenomicRanges, Biostrings, SingleCellExperiment","Things just work, I never seem to have version/dependencies conflicts; one finds good documentation; there's often good inter-operability",,,,
